Specification Number,Title,Responsible Group
32.435,Telecommunication management; Performance measurement; eXtensible Markup Language (XML) file format definition,S5
32.436,Telecommunication management; Performance measurement: Abstract Syntax Notation 1 (ASN.1) file format definition,S5
32.441,Telecommunication management; Trace Management Integration Reference Point (IRP); Requirements,S5
32.442,Telecommunication management; Trace Management Integration Reference Point (IRP); Information Service (IS),S5
32.443,Telecommunication management; Trace Management (Trace) Integration Reference Point (IRP): Common Object Request Broker Architecture (CORBA) Solution Set (SS),S5
32.445,Telecommunication management; Trace Management (Trace) Integration Reference Point (IRP): eXtensible Markup Language (XML) file format definition,S5
32.446,Telecommunication management; Trace Management Integration Reference Point (IRP); Solution Set (SS) definitions,S5
32.447,Telecommunication management; Trace Management Integration Reference Point (IRP): SOAP Solution Set (SS),S5
32.450,Telecommunication management; Key Performance Indicators (KPI) for Evolved Universal Terrestrial Radio Access Network (E-UTRAN): Definitions,S5
32.451,Telecommunication management; Key Performance Indicators (KPI) for Evolved Universal Terrestrial Radio Access Network (E-UTRAN); Requirements,S5
32.452,Telecommunication management; Performance Management (PM); Performance measurements Home Node B (HNB) Subsystem (HNS),S5
32.453,Telecommunication management; Performance Management (PM); Performance measurements Home enhanced Node B (HeNB) Subsystem (HeNS),S5
32.454,Telecommunication management; Key Performance Indicators (KPI) for the IP Multimedia Subsystem (IMS); Definitions,S5
32.455,Telecommunication management; Key Performance Indicators (KPI) for the Evolved Packet Core (EPC); Definitions,S5
32.500,Telecommunication management; Self-Organizing Networks (SON); Concepts and requirements,S5
32.501,Telecommunication management; Self-configuration of network elements; Concepts and requirements,S5
32.502,Telecommunication management; Self-configuration of network elements Integration Reference Point (IRP); Information Service (IS),S5
32.503,Telecommunication management; Self-configuration of network elements Integration Reference Point (IRP); Common Object Request Broker Architecture (CORBA) Solution Set (SS),S5
32.505,Telecommunication management; Self-configuration of network elements Integration Reference Point (IRP): eXtensible Markup Language (XML) file format definition,S5
32.506,Telecommunication management; Self-configuration of network elements Integration Reference Point (IRP); Solution Set (SS) definitions,S5
32.507,Telecommunication management; Self-configuration of network elements Integration Reference Point (IRP): SOAP Solution Set (SS),S5
32.508,Telecommunication management; Procedure flows for multi-vendor plug-and-play eNode B connection to the network,S5
32.509,Telecommunication management; Data formats for multi-vendor plug and play eNode B connection to the network,S5
32.511,Telecommunication management; Automatic Neighbour Relation (ANR) management; Concepts and requirements,S5
32.521,Telecommunication management; Self-Organizing Networks (SON) Policy Network Resource Model (NRM) Integration Reference Point (IRP); Requirements,S5
32.522,Telecommunication management; Self-Organizing Networks (SON) Policy Network Resource Model (NRM) Integration Reference Point (IRP); Information Service (IS),S5
32.523,Telecommunication management; Self-Organizing Networks (SON); Policy Network Resource Model (NRM) Integration Reference Point (IRP); Common Object Request Broker Architecture (CORBA) Solution Set (SS),S5
32.525,Telecommunication management; Self-Organizing Networks (SON) Policy Network Resource Model (NRM) Integration Reference Point (IRP); eXtensible Markup Language (XML) file format definition,S5
32.526,Telecommunication management; Self-Organizing Networks (SON); Policy Network Resource Model (NRM) Integration Reference Point (IRP); Solution Set (SS) definitions,S5
32.531,Telecommunication management; Software management (SwM); Concepts and Integration Reference Point (IRP) Requirements,S5
32.532,Telecommunication management; Software management (SwM); Integration Reference Point (IRP); Information Service (IS),S5
32.533,Telecommunication management; Software management (SwM); Integration Reference Point (IRP); Common Object Request Broker Architecture (CORBA) Solution Set (SS),S5
32.535,Telecommunication management; Software Management Integration Reference Point (IRP); eXtensible Markup Language (XML) definitions,S5
32.536,Telecommunication management; Software management Integration Reference Point (IRP); Solution Set (SS) definitions,S5
32.537,Telecommunication management; Software management (SwM); Integration Reference Point (IRP); SOAP Solution Set (SS),S5
32.541,Telecommunication management; Self-Organizing Networks (SON); Self-healing concepts and requirements,S5
32.542,Telecommunication management; Self-Organizing Networks (SON); Self-healing stage 2,S5
32.543,Telecommunication management; Self-Organizing Networks (SON); Self-healing stage 3,S5
32.551,Telecommunication management; Energy Saving Management (ESM); Concepts and requirements,S5
32.571,Telecommunication management; Home Node B (HNB) and Home eNode B (HeNB) management; Type 2 interface concepts and requirements,S5
32.572,Telecommunication management; Home Node B (HNB) and Home eNode B (HeNB) management; Type 2 interface models and mapping functions,S5
32.581,"Telecommunication management; Home Node B (HNB) Operations, Administration, Maintenance and Provisioning (OAM&P); Concepts and requirements for Type 1 interface HNB to HNB Management System (HMS)",S5
32.582,"Telecommunication management; Home Node B (HNB) Operations, Administration, Maintenance and Provisioning (OAM&P); Information model for Type 1 interface HNB to HNB Management System (HMS)",S5
32.583,"Telecommunication management; Home Node B (HNB) Operations, Administration, Maintenance and Provisioning (OAM&P); Procedure flows for Type 1 interface HNB to HNB Management System (HMS)",S5
32.584,"Telecommunication management; Home Node B (HNB) Operations, Administration, Maintenance and Provisioning (OAM&P); XML definitions for Type 1 interface HNB to HNB Management System (HMS)",S5
32.591,"Telecommunication management; Home enhanced Node B (HeNB) Operations, Administration, Maintenance and Provisioning (OAM&P); Concepts and requirements for Type 1 interface HeNB to HeNB Management System (HeMS)",S5
32.592,"Telecommunication management; Home enhanced Node B (HeNB) Operations, Administration, Maintenance and Provisioning (OAM&P); Information model for Type 1 interface HeNB to HeNB Management System (HeMS)",S5
32.593,"Telecommunication management; Home enhanced Node B (HeNB) Operations, Administration, Maintenance and Provisioning (OAM&P); Procedure flows for Type 1 interface HeNB to HeNB Management System (HeMS)",S5
32.594,"Telecommunication management; Home enhanced Node B (HeNB) Operations, Administration, Maintenance and Provisioning (OAM&P); XML definitions for Type 1 interface HeNB to HeNB Management System (HeMS)",S5
32.600,Telecommunication management; Configuration Management (CM); Concept and high-level requirements,S5
32.601,Telecommunication management; Configuration Management (CM); Basic CM Integration Reference Point (IRP); Requirements,S5
32.601-1,Telecommunication management; Configuration Management (CM); Part 1: Basic CM Integration Reference Point (IRP): requirements,S5
32.601-2,Telecommunication management; Configuration Management (CM); Part 2: Basic CM Integration Reference Point (IRP) information model,S5
32.601-3,Telecommunication management; Configuration Management (CM); Part 3: Basic CM Integration Reference Point (IRP): Common Object Request Broker Architecture (CORBA) solution set,S5
32.601-4,Telecommunication management; Configuration Management (CM); Part 4: Basic CM Integration Reference Point (IRP): Common Management Information Protocol (CMIP) solution set,S5
32.602,Telecommunication management; Configuration Management (CM); Basic CM Integration Reference Point (IRP); Information Service (IS),S5
32.602-1,Telecommunication management; Configuration Management (CM); CMt: Bulk CM Integration Reference Point (IRP) requirements,S5
32.602-2,Telecommunication management; Configuration Management (CM); CMt: Bulk Configuration Management Integration Reference Point (IRP): Information service,S5
32.602-3,Telecommunication management; Configuration Management (CM); CM: Bulk Configuration Management Integration Reference Point (IRP): Common Object Request Broker Architecture (CORBA) solution set,S5
